Constituency Name,Winning Candidate,Runner up Candidate,Party ,Alliance, EVM Votes,Postal Votes,Total Votes,Margin
MALDAHAUTTAR,KHAGEN MURMU,PRASUN BANERJEE, BJP,NDA,1413820,3769,1417589,77708
BIJAPUR,RAMESH JIGAJINAGI,RAJU ALAGUR., BJP,NDA,1289986,6128,1296114,77229
HOOGHLY,RACHNA BANERJEE,LOCKET CHATTERJEE, AITC,I.N.D.I.A.,1511948,5563,1517511,76853
RAMTEK,Shyamkumar (Babalu) Daulat Barve,RAJU DEONATH PARVE, INC,I.N.D.I.A.,1249961,2551,1252512,76768
SHRAWASTI,RAM SHIROMANI VERMA,SAKET MISRA, SP,I.N.D.I.A.,1046002,526,1046528,76673
DHENKANAL,RUDRA NARAYAN PANY,ABINASH SAMAL, BJP,NDA,1184033,7640,1191673,76567
RAJAMPET,P V MIDHUN REDDY,NALLARI KIRAN KUMAR REDDY, YSRCP,OTHER,1314182,18757,1332939,76071
ALIPURDUARS,MANOJ TIGGA,PRAKASH CHIK BARAIK, BJP,NDA,1414597,6792,1421389,75447
PALAKKAD,V K SREEKANDAN,A VIJAYARAGHAVAN, INC,I.N.D.I.A.,1027240,8596,1035836,75283
GURGAON,RAO INDERJIT SINGH,RAJ BABBAR, BJP,NDA,1596251,4981,1601232,75079
MANDI,KANGNA RANAUT,VIKRAMADITYA SINGH, BJP,NDA,997478,18332,1015810,74755
THRISSUR,SURESH GOPI,ADV V S SUNILKUMAR, BJP,NDA,1081181,9695,1090876,74686
SOLAPUR,PRANITI SUSHILKUMAR SHINDE,RAM VITTHAL SATPUTE, INC,I.N.D.I.A.,1201261,3224,1204485,74197
BANGAON,SHANTANU THAKUR,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS, BJP,NDA,1487892,5216,1493108,73693
SIKAR,AMRARAM,SUMEDHANAND SARASWATI, CPI(M),I.N.D.I.A.,1274311,26545,1300856,72896
CHURU,RAHUL KASWAN,DEVENDRA JHAJHARIA, INC,I.N.D.I.A.,1407789,16856,1424645,72737
KOLAR,M. MALLESH BABU,K V GOWTHAM, JD(S),NDA,1351321,3907,1355228,71388
BANDA,KRISHNA DEVI SHIVSHANKER PATEL,R. K. SINGH PATEL, SP,I.N.D.I.A.,1042931,1201,1044132,71210
VILUPPURAM,RAVIKUMAR. D,BHAGYARAJ. J, VCK,I.N.D.I.A.,1145468,7199,1152667,70703
DUMDUM,SOUGATA RAY,SILBHADRA DATTA, AITC,I.N.D.I.A.,1254461,5585,1260046,70660
SALEM,SELVAGANAPATHI T M,VIGNESH P, DMK,I.N.D.I.A.,1295702,9142,1304844,70357
MOHANLALGANJ,R.K. CHAUDHARY,KAUSHAL KISHORE, SP,I.N.D.I.A.,1374478,2974,1377452,70292
GWALIOR,BHARAT SINGH KUSHWAH,PRAVEEN PATHAK, BJP,NDA,1337928,5301,1343229,70210
FARIDKOT,SARABJEET SINGH KHALSA,KARAMJIT SINGH ANMOL, IND,OTHER,1009711,4744,1014455,70053
KAIRANA,IQRA CHOUDHARY,PRADEEP KUMAR, SP,I.N.D.I.A.,1075537,4269,1079806,69116
BAGALKOT,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,SAMYUKTA SHIVANAND PATIL, BJP,NDA,1311893,5668,1317561,68399
MIZORAM,RICHARD VANLALHMANGAIHA,K VANLALVENA, ZPM,OTHER,486889,4447,491336,68288
RAIGANJ,KARTICK CHANDRA PAUL,KALYANI KRISHNA, BJP,NDA,1363996,4475,1368471,68197
NAWADA,VIVEK THAKUR,SHRAWAN KUMAR, BJP,NDA,864900,4970,869870,67670
KENDRAPARA,BAIJAYANT PANDA,ANSHUMAN MOHANTY, BJP,NDA,1272561,4547,1277108,66536
PRATAPGARH,SHIV PAL SINGH PATEL (DR. S P SINGH),SANGAM LAL GUPTA, SP,I.N.D.I.A.,943304,3984,947288,66206
BHIWANDI,BALYA MAMA - SURESH GOPINATH MHATRE,KAPIL MORESHWAR PATIL, NCPSP,I.N.D.I.A.,1249338,4061,1253399,66121
PATHANAMTHITTA,ANTO ANTONY,DR.T.M.THOMAS ISSAC, INC,I.N.D.I.A.,905748,13821,919569,66119
TONK-SAWAIMADHOPUR,HARISH CHANDRA MEENA,SUKHBIR SINGH JAUNAPURIA, INC,I.N.D.I.A.,1214246,12338,1226584,64949
BHIND,SANDHYA RAY,PHOOL SINGH BARAIYA, BJP,NDA,1043084,5923,1049007,64840
SURGUJA,CHINTAMANI MAHARAJ,SHASHI SINGH KORAM, BJP,NDA,1453064,2205,1455269,64822
SAHARANPUR,IMRAN MASOOD,RAGHAV LAKHANPAL, INC,I.N.D.I.A.,1227175,2280,1229455,64542
BARRACKPUR,PARTHA BHOWMICK,ARJUN SINGH, AITC,I.N.D.I.A.,1137819,4041,1141860,64438
BAHARAICH,ANAND KUMAR,RAMESH CHANDRA, BJP,NDA,1056179,387,1056566,64227
CHALAKUDY,BENNY BEHANAN,PROF C RAVEENDRANATH, INC,I.N.D.I.A.,942792,8495,951287,63754
ALAPPUZHA,K. C VENUGOPAL,A. M ARIFF, INC,I.N.D.I.A.,1042798,15905,1058703,63513
HISAR,JAI PARKASH (J P) S/O HARIKESH,RANJIT SINGH, INC,I.N.D.I.A.,1168313,5802,1174115,63381
KADAPA,Y. S. AVINASH REDDY,CHADIPIRALLA BHUPESH SUBBARAMI REDDY, YSRCP,OTHER,1300147,21828,1321975,62695
LATUR,DR. KALGE SHIVAJI BANDAPPA,SUDHAKAR TUKARAM SHRANGARE, INC,I.N.D.I.A.,1234853,4226,1239079,61881
UJIARPUR,NITYANAND RAI,ALOK KUMAR MEHTA, BJP,NDA,1040183,1885,1042068,60102
JANJGIR-CHAMPA,KAMLESH JANGDE,DR. SHIVKUMAR DAHARIYA, BJP,NDA,1387196,5044,1392240,60000
ARRAH,SUDAMA PRASAD,R. K. SINGH, CPI(ML)(L),I.N.D.I.A.,1088409,8152,1096561,59808
KISHANGANJ,MOHAMMAD JAWED,MUJAHID ALAM, INC,I.N.D.I.A.,1150070,1029,1151099,59692
ASANSOL,SHATRUGHAN PRASAD SINHA,SURENDRAJEET SINGH AHLUWALIA, AITC,I.N.D.I.A.,1296332,5208,1301540,59564
NANDED,CHAVAN VASANTRAO BALWANTRAO,CHIKHALIKAR PRATAPRAO GOVINDRAO, INC,I.N.D.I.A.,1123660,4594,1128254,59442
ALLAHABAD,UJJWAL RAMAN SINGH,NEERAJ TRIPATHI, INC,I.N.D.I.A.,945146,1854,947000,58795
ETAWAH,JITENDRA KUMAR DOHARE,DR RAM SHANKAR KATHERIA, SP,I.N.D.I.A.,1030621,3163,1033784,58419
DADAR&NAGARHAVELI,DELKAR KALABEN MOHANBHAI,AJIT RAMJIBHAI MAHALA, BJP,NDA,205257,331,205588,57584
CUTTACK,BHARTRUHARI MAHTAB,SANTRUPT MISRA, BJP,NDA,1116941,3854,1120795,57077
KRISHNANAGAR,MAHUA MOITRA,AMRITA ROY, AITC,I.N.D.I.A.,1415842,9870,1425712,56705
BIKANER,ARJUN RAM MEGHWAL,GOVINDRAM MEGHWAL, BJP,NDA,1108423,9859,1118282,55711
SHAHJAHANPUR,ARUN KUMAR SAGAR,JYOTSNA GOND, BJP,NDA,1243585,4317,1247902,55379
